"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 12 06:06:34 UTC 2026","Wed Aug 12 06:06:35 UTC 2026","577","","","","","","[STAGE] Positive: Complete checkout flow Sneha",""
"passed","Wed Aug 12 06:07:07 UTC 2026","Wed Aug 12 06:07:09 UTC 2026","1622","","","","","","[STAGE] Positive: Complete checkout flow Priya",""
"passed","Wed Aug 12 06:08:31 UTC 2026","Wed Aug 12 06:08:31 UTC 2026","571","","","","","","[STAGE] Positive: Successful login with valid credentials problem_user",""
"passed","Wed Aug 12 06:08:27 UTC 2026","Wed Aug 12 06:08:27 UTC 2026","662","","","","","","[STAGE] Positive: Complete checkout flow Pooja",""
"passed","Wed Aug 12 06:06:30 UTC 2026","Wed Aug 12 06:06:30 UTC 2026","79","","","","","","[STAGE] TC_CREATE_UPDATE_002 - Update booking without auth token",""
"passed","Wed Aug 12 06:08:02 UTC 2026","Wed Aug 12 06:08:03 UTC 2026","829","","","","","","[STAGE] Positive: Complete checkout flow Sneha",""
"passed","Wed Aug 12 06:06:46 UTC 2026","Wed Aug 12 06:06:47 UTC 2026","1021","","","","","","[STAGE] Positive: Complete checkout flow Amit",""
"passed","Wed Aug 12 06:08:24 UTC 2026","Wed Aug 12 06:08:25 UTC 2026","735","","","","","","[STAGE] Positive: Complete checkout flow Arjun",""
"passed","Wed Aug 12 06:06:58 UTC 2026","Wed Aug 12 06:06:59 UTC 2026","904","","","","","","[STAGE] Verify Open Invalid Product URL",""
"passed","Wed Aug 12 06:06:35 UTC 2026","Wed Aug 12 06:06:36 UTC 2026","581","","","","","","[STAGE] Positive: Complete checkout flow Arjun",""
"passed","Wed Aug 12 06:08:04 UTC 2026","Wed Aug 12 06:08:05 UTC 2026","760","","","","","","[STAGE] Positive: Complete checkout flow Neha",""
"passed","Wed Aug 12 06:06:33 UTC 2026","Wed Aug 12 06:06:33 UTC 2026","591","","","","","","[STAGE] Positive: Complete checkout flow Amit",""
"passed","Wed Aug 12 06:06:48 UTC 2026","Wed Aug 12 06:06:49 UTC 2026","972","","","","","","[STAGE] Positive: Complete checkout flow Rahul",""
"passed","Wed Aug 12 06:07:01 UTC 2026","Wed Aug 12 06:07:02 UTC 2026","623","","","","","","[STAGE] Negative: Login failure with invalid credentials",""
"passed","Wed Aug 12 06:08:06 UTC 2026","Wed Aug 12 06:08:07 UTC 2026","781","","","","","","[STAGE] Positive: Complete checkout flow Pooja",""
